day,K_mean,K_p10,K_p50,K_p90,A_mean,A_p10,A_p50,A_p90,incidents_total,time_lost_mean
1,0.3858677424962745,0.16457252420016052,0.37885715665500747,0.6291883365671548,0.43662109366292995,0.18297276351838884,0.4098577071999655,0.7322716141544706,42,0.2875
2,0.3974378856346626,0.17880775157188034,0.3901711797799807,0.6352404823473254,0.44662109366292996,0.19297276351838885,0.4198577071999655,0.7422716141544706,34,0.255
3,0.4085779329092752,0.19227506960958698,0.39960346275237996,0.6418810194751927,0.45662109366292997,0.20297276351838886,0.4298577071999655,0.7522716141544706,40,0.2675
4,0.4198802995500171,0.20770017948188443,0.4110535808694984,0.6481466114345954,0.46662109366293,0.21297276351838887,0.43985770719996553,0.7622716141544706,33,0.24750000000000003
5,0.4306565617304233,0.22296102266150666,0.4241513719840594,0.6546419795901052,0.47662109366292993,0.22297276351838888,0.44985770719996554,0.7722716141544707,36,0.2699999999999999
6,0.4418233984907085,0.23641320634678867,0.43693221825179707,0.6604878803695211,0.4865435010745051,0.2329727635183889,0.45985770719996555,0.7822716141544707,32,0.2375
7,0.4520794324896056,0.25251394529878823,0.4498612388952562,0.6655242753462454,0.4964601677411718,0.2429727635183889,0.46985770719996556,0.7922716141544707,38,0.28500000000000003
8,0.4629213548891348,0.26980243572332085,0.46223721089307523,0.6707485020928494,0.5062786415771485,0.2529727635183889,0.47985770719996557,0.8022716141544707,31,0.2325
9,0.4733525659773187,0.2878039851850905,0.47214387804467545,0.6763711485281432,0.5160286415771485,0.2629727635183889,0.4898577071999656,0.8122716141544707,35,0.2525
10,0.4836576427873323,0.29906191991242165,0.4802981656064965,0.6803106302883589,0.5257786415771485,0.2729727635183889,0.4998577071999656,0.8222716141544707,33,0.245
11,0.4934767472210506,0.3097779831221395,0.4903798366256312,0.6848821717620578,0.5355286415771484,0.2829727635183889,0.5098577071999656,0.8322716141544707,36,0.2700000000000001
12,0.5034812088629335,0.32099474102701286,0.500275983750691,0.6904784713999611,0.5452786415771484,0.2929727635183889,0.5198577071999656,0.8422716141544707,32,0.24000000000000002
13,0.5140185803202614,0.3348625690402143,0.5111580347010926,0.6993122049512982,0.5550000404840806,0.3029727635183889,0.5298577071999656,0.8522716141544707,26,0.195
14,0.5231883830233591,0.3483484425090835,0.52038293506243,0.7048037519136662,0.5646667071507473,0.31297276351838893,0.5398577071999656,0.8622716141544707,37,0.27749999999999997
15,0.5327128777984993,0.36250408981103505,0.5311720150371386,0.710136892467041,0.574333373817414,0.32297276351838894,0.5498577071999656,0.8722716141544707,34,0.245
16,0.5426308294595328,0.37678189885796254,0.5448813817772887,0.7174947921191153,0.5840000404840805,0.33297276351838895,0.5598577071999656,0.8822716141544708,27,0.20249999999999999
17,0.5515316552151197,0.38744770065132433,0.5551691947269392,0.7227119657341019,0.5936356752970198,0.34297276351838896,0.5698577071999656,0.8922716141544708,34,0.255
18,0.560645567902203,0.3986811813217285,0.5653945381667567,0.729259098507886,0.6032043068274293,0.35297276351838897,0.5798577071999657,0.9022716141544708,34,0.2375
19,0.5702234322878067,0.40994857696161174,0.5741533377537713,0.7333089348819068,0.6127043068274294,0.362972763518389,0.5898577071999657,0.9122716141544708,24,0.18000000000000002
20,0.5784554205142987,0.4232582336724717,0.5830787469282949,0.7377687586844286,0.6222043068274293,0.372972763518389,0.5998577071999657,0.9222716141544708,37,0.275
21,0.5868301481946362,0.4353596389112132,0.5924573939456328,0.7414846324774766,0.6317043068274292,0.382972763518389,0.6098577071999657,0.9322716141544708,36,0.2525
22,0.5953408494200604,0.4484115035443481,0.6011521754732465,0.7462521681083728,0.6412043068274293,0.392972763518389,0.6198577071999657,0.9422716141544708,30,0.225
23,0.6036005758476499,0.46007235574576294,0.609196822154626,0.7519872732626581,0.6507043068274293,0.402972763518389,0.6298577071999657,0.9522716141544708,32,0.23
