day,run_id,n_classes,class_size_cap,n_students,n_teachers,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,K_mean,K_p10,K_p50,K_p90,A_mean,A_p10,A_p50,A_p90,incidents_total,time_lost_mean
1,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.4445134040124798,0.19274654086947807,0.4418628284059073,0.7041232632728696,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,19,0.076
2,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.4782219456743365,0.24968082876502612,0.4770318389642221,0.716290150479139,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,16,0.064
3,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.5101934211376534,0.2962963418058086,0.5080624902957682,0.730499841375933,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,12,0.04800000000000001
4,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.5380561843556474,0.33757456320452606,0.5373237063934354,0.7411942441149391,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,28,0.11199999999999997
5,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.5646176415050594,0.3740397677630492,0.563951908675516,0.7524589247394662,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,25,0.1
6,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.5900837747494633,0.40943229055211794,0.58988263727768,0.7637596628199635,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,19,0.07600000000000001
7,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.6139499761821912,0.4406184416467947,0.6136588396795641,0.7740185445118563,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,19,0.07600000000000001
8,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.6368069132886516,0.47406215510123245,0.6370983459300121,0.7863944201064396,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,15,0.06000000000000002
9,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.6576882785122862,0.5006240765963544,0.6598128058273127,0.7987502581903545,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,18,0.07200000000000001
10,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.6772441170513377,0.5271977894338762,0.6815493718299972,0.812282003900719,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,20,0.08000000000000002
11,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.695744423063524,0.5491157347041814,0.7007595548432525,0.8239495825334393,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,17,0.068
12,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.7132971065241952,0.5774810642698349,0.7164964656542363,0.8332327411765652,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,14,0.056
13,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.7290048341575515,0.6036440576337054,0.7316926805816621,0.8441311031466949,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,24,0.09600000000000002
14,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.7444169556756841,0.6224596562970609,0.7499114688033608,0.8537302406788512,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,14,0.05600000000000001
15,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.7584314083804234,0.6469371943540991,0.7670333657025356,0.8616930782389643,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,19,0.07600000000000001
16,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.7718369806764339,0.6626191277004871,0.7806245688073755,0.8701171371327413,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,15,0.06000000000000001
17,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.7839152264732405,0.6783328218023139,0.7907123925429245,0.8755598695462665,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,22,0.08800000000000002
18,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.795350563549284,0.697822475467219,0.8023948335737686,0.8827413888173963,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,20,0.08
19,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.8056516653700091,0.7114690370906187,0.8131839908725422,0.8896493866625296,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,27,0.108
20,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.8157257986061607,0.7273360647648281,0.8216464601195246,0.8950988363530337,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,20,0.08000000000000002
21,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.8249578033824617,0.7418519015835856,0.8309190419388828,0.9005608420312614,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,24,0.09599999999999999
22,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.833426182831003,0.7520689824717849,0.8391263126466741,0.9053557418400141,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,29,0.11599999999999998
23,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.8420908879406075,0.7649958875455845,0.8480957814254471,0.9105715983493622,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,13,0.052
24,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.8501075385988143,0.7770988084569928,0.8560664022496558,0.9139308758117346,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,16,0.064
