run_id,n_classes,class_size_cap,n_students,n_teachers,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,n_days,K_mean_start,A_mean_start,K_mean_end,K_p10_end,K_p50_end,K_p90_end,A_mean_end,A_p10_end,A_p50_end,A_p90_end,K_mean_gain,A_mean_gain,incidents_avg_per_day,incidents_total,time_lost_avg,time_lost_max
1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4445134040124798,0.3491313391463379,0.9662521267537596,0.9587646848678648,0.9671208567659064,0.9725178264777992,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,0.5217387227412797,0.0,19.133333333333333,1722,0.07653333333333334,0.128
2,10,12,120,10,30.0,0.05,0.002,90,12005,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.3981979313808885,0.34334462049452924,0.9650603157255626,0.9564819209918235,0.9657264321011962,0.9718439020272975,0.34334462049452924,0.10646908245256087,0.3308778969613843,0.5921452661005306,0.5668623843446741,0.0,19.144444444444446,1723,0.07657777777777779,0.10800000000000001
3,10,12,120,10,30.0,0.05,0.002,90,12006,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4205590512115832,0.3408523415472634,0.9660793867694925,0.958147808634214,0.9668088432878252,0.9726889257357207,0.3408523415472634,0.13334102386432048,0.33305140992517934,0.573611357455218,0.5455203355579092,0.0,18.344444444444445,1651,0.07337777777777779,0.116
4,10,12,120,10,30.0,0.05,0.002,90,12007,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.45318022051389983,0.3326977623557479,0.9660124220538985,0.9584254685622942,0.9667285174347082,0.9720100940611014,0.3326977623557479,0.10464954268770467,0.33511912204558025,0.5412275454646479,0.5128322015399986,0.0,18.755555555555556,1688,0.07502222222222223,0.12400000000000003
5,10,12,120,10,30.0,0.05,0.002,90,12008,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4405061783292191,0.35931901896854745,0.9684432691863416,0.9617343776677107,0.9686678378875203,0.9743060298541562,0.35931901896854745,0.12969057168182818,0.347327536600305,0.6027614233005284,0.5279370908571225,0.0,19.633333333333333,1767,0.07853333333333334,0.12799999999999997
6,10,12,120,10,30.0,0.05,0.002,90,12009,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.44893640187704287,0.36748284556759486,0.9674270011600747,0.9597025886183586,0.9682337336211674,0.9744180036657016,0.36748284556759486,0.11453817487580537,0.3684903921983169,0.6602554848163955,0.5184905992830319,0.0,19.31111111111111,1738,0.07724444444444445,0.12399999999999999
7,10,12,120,10,30.0,0.05,0.002,90,12010,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4350743428804843,0.3478776714050603,0.965352211192157,0.9567453793399333,0.9654093210867079,0.9726085748012809,0.3478776714050603,0.08425472690871544,0.32553924803197987,0.5836975174764221,0.5302778683116727,0.0,19.822222222222223,1784,0.0792888888888889,0.128
8,10,12,120,10,30.0,0.05,0.002,90,12011,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4172505051545811,0.3349718280030414,0.9664498524297548,0.9593313499987461,0.9673848738413533,0.9724210127500899,0.3349718280030414,0.11770507742518121,0.3467631446908269,0.5453932483769188,0.5491993472751737,0.0,19.622222222222224,1766,0.07848888888888889,0.12000000000000001
9,10,12,120,10,30.0,0.05,0.002,90,12012,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4014037711434373,0.3273272351836089,0.9641189480658096,0.9558152163970312,0.9647623370929908,0.9711617949259032,0.3273272351836089,0.11596771795199777,0.3197504985928661,0.5580307084714876,0.5627151769223723,0.0,19.18888888888889,1727,0.07675555555555556,0.128
10,10,12,120,10,30.0,0.05,0.002,90,12013,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4508929365767866,0.3470118726751229,0.9652200854919587,0.9579026942399209,0.9655267859174175,0.9721861721619806,0.3470118726751229,0.12466874472516788,0.313481263775199,0.6072640150758808,0.5143271489151722,0.0,18.755555555555556,1688,0.07502222222222223,0.12000000000000001
11,10,14,140,10,30.0,0.05,0.002,90,14004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.44411953816473043,0.3382055096628354,0.9598579042548733,0.9508766113699403,0.9606975079338281,0.96838533884281,0.3382055096628354,0.11746065791065718,0.3180113720356655,0.5884992177809184,0.5157383660901429,0.0,23.72222222222222,2135,0.0948888888888889,0.13599999999999998
12,10,14,140,10,30.0,0.05,0.002,90,14005,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.46320073581783533,0.34639385276131396,0.9599132968765535,0.9507211465952695,0.9604286201888582,0.9679904598131742,0.34639385276131396,0.12593566941800308,0.3237385671023161,0.5639521045545676,0.49671256105871814,0.0,22.988888888888887,2069,0.09195555555555557,0.14400000000000002
13,10,14,140,10,30.0,0.05,0.002,90,14006,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.40920201716215787,0.3290195642370783,0.9585176818260261,0.9495705763461556,0.9581331501921133,0.9678674525021336,0.3290195642370783,0.11663736360339405,0.300495340990972,0.6156167214819093,0.5493156646638683,0.0,23.522222222222222,2117,0.0940888888888889,0.13200000000000003
14,10,14,140,10,30.0,0.05,0.002,90,14007,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.43546579496184196,0.3268461333332818,0.9573373073437916,0.9452272090513189,0.9588324719421844,0.967441823906155,0.3268461333332818,0.09197587365386184,0.3012722739149135,0.6237320105823084,0.5218715123819497,0.0,23.122222222222224,2081,0.09248888888888891,0.13599999999999998
15,10,14,140,10,30.0,0.05,0.002,90,14008,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4196639333929548,0.34572106560078697,0.9600233038395105,0.9513641817301121,0.9611315095416427,0.9670869222456834,0.34572106560078697,0.14126909249183123,0.35400924929748306,0.5563719406208871,0.5403593704465557,0.0,23.511111111111113,2116,0.09404444444444444,0.12800000000000003
16,10,14,140,10,30.0,0.05,0.002,90,14009,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.42673831942888146,0.3404053766044007,0.955469916113602,0.9431921184031674,0.9565881444732756,0.9659913274375452,0.3404053766044007,0.12279311102066713,0.32324073524600283,0.5938416406393039,0.5287315966847206,0.0,22.566666666666666,2031,0.09026666666666668,0.148
17,10,14,140,10,30.0,0.05,0.002,90,14010,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.40665700081599304,0.3191917089012185,0.9573178246234855,0.9466101505131328,0.9585841654075957,0.9662006826611854,0.3191917089012185,0.09728097147399925,0.30319385740823035,0.5402646557861277,0.5506608238074924,0.0,22.955555555555556,2066,0.09182222222222224,0.14400000000000002
18,10,14,140,10,30.0,0.05,0.002,90,14011,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4553110650857894,0.3217426978531607,0.9581077549735946,0.9480293871331524,0.9591226656911419,0.968094651617588,0.3217426978531607,0.08501779688095211,0.2804052595046782,0.5962529512353603,0.5027966898878051,0.0,23.544444444444444,2119,0.09417777777777779,0.128
19,10,14,140,10,30.0,0.05,0.002,90,14012,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.40176822910919024,0.3464090710576928,0.9579205078833618,0.948093327665107,0.9594854084422433,0.9677574633741886,0.3464090710576928,0.10596771239526591,0.344839032979964,0.6224732528221234,0.5561522787741715,0.0,23.833333333333332,2145,0.09533333333333334,0.13200000000000003
20,10,14,140,10,30.0,0.05,0.002,90,14013,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.3832243872737167,0.3315265383286891,0.9560875541241147,0.9436847746870366,0.9569916451498983,0.9673005620439922,0.3315265383286891,0.0885953332412522,0.31348645215897397,0.6088398016402128,0.5728631668503981,0.0,23.57777777777778,2122,0.09431111111111112,0.14000000000000004
21,10,16,160,10,30.0,0.05,0.002,90,16004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.45036784033407606,0.33637007682273473,0.9465638202041978,0.9296502382877813,0.9476192332446349,0.9600451988186699,0.33637007682273473,0.09800744245767708,0.3323235125582962,0.5981858218103243,0.49619597987012176,0.0,30.266666666666666,2724,0.12106666666666667,0.168
22,10,16,160,10,30.0,0.05,0.002,90,16005,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.41828164239870314,0.31250563164579276,0.9419601349106461,0.9233996207106864,0.9437647203163501,0.9571756476448587,0.31250563164579276,0.08387517334805038,0.2894687071729202,0.5841332169860313,0.523678492511943,0.0,29.9,2691,0.11960000000000001,0.16
23,10,16,160,10,30.0,0.05,0.002,90,16006,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.43100125867512296,0.33471054916235377,0.9501071473447456,0.9366131822232483,0.9511623068387332,0.9599623985353672,0.33471054916235377,0.13875191084449223,0.32031829530181843,0.5442791630721213,0.5191058886696226,0.0,28.377777777777776,2554,0.11351111111111112,0.164
24,10,16,160,10,30.0,0.05,0.002,90,16007,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.42772025022022114,0.32626273566613984,0.9461315428058372,0.9316804062443305,0.94638775135587,0.9608744167709165,0.32626273566613984,0.09918728802519071,0.29120058049023456,0.6283849343098766,0.5184112925856161,0.0,29.322222222222223,2639,0.1172888888888889,0.152
