class_size_cap,n_reps,K_mean_end_mean,K_mean_end_sd,K_p10_end_mean,K_p10_end_sd,K_p50_end_mean,K_p50_end_sd,K_p90_end_mean,K_p90_end_sd,A_mean_end_mean,A_mean_end_sd,A_p10_end_mean,A_p10_end_sd,A_p50_end_mean,A_p50_end_sd,A_p90_end_mean,A_p90_end_sd,K_mean_gain_mean,K_mean_gain_sd,A_mean_gain_mean,A_mean_gain_sd,incidents_avg_per_day_mean,incidents_avg_per_day_sd,time_lost_avg_mean,time_lost_avg_sd,time_lost_max_mean,time_lost_max_sd
12,10,0.9666174234808577,0.0013151883242210928,0.9590849805402608,0.0018968888709732124,0.9673514678752093,0.0013019051492376109,0.9731775503910756,0.0008962621534824134,0.34032604942277095,0.014472341742144635,0.11574296151757563,0.012515697923259697,0.33038384017610734,0.021046829898188315,0.5792126291246671,0.03432117929362487,0.5350746599158215,0.01967009527058403,0.0,0.0,19.092222222222222,0.4606028732636293,0.07636888888888889,0.0018424114930545154,0.1232,0.008599741598185122
14,10,0.9563818824954787,0.0018738091724749921,0.9448682294379269,0.003468434255793657,0.9574026552000301,0.0015802165548355076,0.9663761046129276,0.001526280652167661,0.33351762005986046,0.010085883455001268,0.10803800435228568,0.017231672499189245,0.31305097650948543,0.019074288621223366,0.5896074216412682,0.025236687822748263,0.5327795938195831,0.024779354921045615,0.0,0.0,23.455555555555556,0.4444444444444442,0.09382222222222224,0.001777777777777778,0.1408,0.004541169697580384
16,10,0.9473520283089658,0.001938167542919564,0.9327741640115461,0.0034845326953250114,0.9487951654576853,0.002055344805493909,0.9600041603024239,0.00120183831667562,0.32721730931759874,0.01631620394086627,0.10694897884324038,0.019051647371780184,0.3094602534005282,0.020311473147501858,0.5729342914128926,0.028848380051450812,0.5209448146881248,0.011100635154232557,0.0,0.0,29.65888888888889,0.7380887712826647,0.11863555555555556,0.0029523550851306606,0.1704,0.0157987341265052
18,10,0.9353211037266428,0.003611008158221102,0.9170623157410582,0.0048880299701766295,0.9366621564762148,0.0034441553826765232,0.9520609297553314,0.003087341126698564,0.338268561622893,0.00966172716394786,0.12396186502023211,0.016136411585947783,0.3151602021992158,0.01593819263780145,0.5882704140744799,0.0268720807061101,0.5119458552263024,0.020785482056840894,0.0,0.0,35.74333333333333,0.47814943913530256,0.14297333333333334,0.0019125977565412132,0.19720000000000001,0.008854377448471461
20,10,0.9181798482625445,0.003914143938712292,0.8914682745256124,0.00695915959410734,0.9208470253534502,0.003469280995551052,0.9406587702522271,0.002725769047897942,0.3313992140468638,0.015496560457988938,0.11284343172900006,0.015907600738867326,0.3130708822203443,0.020748652289823373,0.5736874777207415,0.03452161853607614,0.49446690993119197,0.01406760455467237,0.0,0.0,43.21333333333333,0.9211997902181381,0.17285333333333333,0.0036847991608725547,0.2308,0.011933147112141025
22,10,0.9041763619916963,0.004093755422908087,0.873706417959532,0.0062170628526804755,0.9070004356603226,0.003419931287578083,0.9307455669105668,0.003171243458577984,0.33140074136272857,0.009576519888419373,0.10846159174546921,0.008815156742235939,0.3127430827513057,0.014633484859217743,0.5796205921502143,0.020239649064318996,0.4892384894609146,0.016018971200362553,0.0,0.0,51.324444444444445,0.6762439637372627,0.20529777777777777,0.0027049758549490565,0.2744,0.00505964425626942
24,10,0.8777058201816693,0.005626246082925077,0.8375969618343264,0.006431615983934258,0.881010563565684,0.00569342705006475,0.9115380302012238,0.004810669620176853,0.3316300300211351,0.01443973224559451,0.11585697006481972,0.009581638092488052,0.3159375534422497,0.018263148125753297,0.5824538194927347,0.025004552038138388,0.45955855053004435,0.012967246126570268,0.0,0.0,60.42777777777778,0.572464889213928,0.24171111111111113,0.00228985955685571,0.3128,0.008390470785361218
26,10,0.8534706475612683,0.008649708046597674,0.8079537714367432,0.012986061074023544,0.8557092948698587,0.008799895569346487,0.8959599840158874,0.00532646864077624,0.3288378335603103,0.01000021855439588,0.11505703875457159,0.010726656633701932,0.3062257131679186,0.021589378083517696,0.5783447452132301,0.01775552494503487,0.4450804093999015,0.008667574416618267,0.0,0.0,70.75111111111111,1.249177507180005,0.28300444444444445,0.004996710028720006,0.348,0.01131370849898476
28,10,0.828741668261687,0.008230681598439307,0.7753026072235757,0.011844327302921709,0.8315621807119467,0.00760258055899192,0.878558840301758,0.007450378611758533,0.33934377841694036,0.013752330403818144,0.11775211907986939,0.013862431117477127,0.32481112824661507,0.02202087091669409,0.5766971208028043,0.0242936660743494,0.4166580303695743,0.014109479425791941,0.0,0.0,81.82555555555555,1.1052816212518364,0.3273022222222222,0.0044211264850073425,0.40040000000000003,0.011692352676476636
30,10,0.8009740124145703,0.00782667666606415,0.7375110812511565,0.012692844312009547,0.8043051118330576,0.007927815473774812,0.8605357969619071,0.0042090828181888485,0.33587880367976714,0.008186171484588048,0.11323456534434793,0.00883541904819948,0.3136795967501011,0.0096185349077512,0.5864266558038603,0.01727267888890499,0.3935810117113002,0.009860333023593279,0.0,0.0,93.05555555555556,0.7473409653688978,0.37222222222222223,0.002989363861475612,0.454,0.015916448515084423
