seed,class_mean,class_q50,class_q90,class_q95,class_q99,class_max,class_zero_frac,class_var_mean,at_risk_share_total,top5_share_students,student_zero_frac
1,9.62,6.0,20.0,30.0,52.00999999999999,93.0,0.016666666666666666,11.1077496594738,0.6247401247401247,0.5644490644490644,0.07
2,11.333333333333334,8.0,22.0,30.049999999999955,51.00999999999999,117.0,0.011111111111111112,9.842897336910292,0.615686274509804,0.49,0.06
3,12.862222222222222,10.0,24.0,32.0,63.0,175.0,0.0033333333333333335,13.992647901031095,0.619039391845197,0.49403939184519696,0.06666666666666667
4,12.707777777777778,10.0,24.0,32.0,48.00999999999999,68.0,0.0033333333333333335,6.864683083211671,0.5599370464282591,0.4262481419952785,0.06333333333333334
5,10.408888888888889,8.5,19.100000000000023,25.0,39.0,62.0,0.005555555555555556,5.907239185013427,0.577070879590094,0.44278394534585824,0.07333333333333333
6,11.38111111111111,9.0,19.0,27.049999999999955,61.039999999999964,147.0,0.0022222222222222222,11.99011419611342,0.559992189788148,0.4341501513228546,0.10333333333333333
7,7.36,6.0,14.0,17.0,22.00999999999999,72.0,0.011111111111111112,3.814225951540359,0.5181159420289855,0.37182971014492755,0.07333333333333333
8,11.53888888888889,9.0,23.0,28.0,40.00999999999999,78.0,0.0011111111111111111,6.014544058208365,0.5540683678382282,0.384785748675975,0.08
9,10.753333333333334,8.0,22.0,27.0,41.0,69.0,0.005555555555555556,6.629937376171223,0.5458772473651581,0.4208514155817318,0.10666666666666667
10,7.615555555555556,6.0,15.0,21.0,36.0,71.0,0.024444444444444446,6.371681662957219,0.5695943974321565,0.4598774438284214,0.11666666666666667
11,9.421111111111111,8.0,19.0,23.0,33.00999999999999,48.0,0.008888888888888889,4.8795104728412975,0.5127963203207926,0.3840075480599127,0.06666666666666667
12,11.19,8.0,23.0,30.0,48.01999999999998,74.0,0.005555555555555556,8.591067823348554,0.5583358157084699,0.4570549101380201,0.07
13,12.681111111111111,9.0,24.100000000000023,35.049999999999955,73.00999999999999,99.0,0.0022222222222222222,11.899796857534298,0.5789012529571541,0.4593007973363708,0.10333333333333333
14,12.023333333333333,10.0,22.0,28.0,51.01999999999998,100.0,0.005555555555555556,7.583743820336984,0.5608538952037705,0.44136401441641254,0.06
